onedrive_name,canonical_us_name,district
1_junho,1º de Junho PS,Kamavota
1_maio,1º de Maio PS,Kamaxakeni
albasine,Albasine PS,Kamavota
altomae,Alto-Maé CSURB,Kampfumu
bagamoio,Bagamoio CS III,Kamubukwana
catembe,Catembe CS II,Katembe
chamanculo,Chamanculo CS,Nlhamankulu
cimento,Polana Cimento CSURB,Kampfumu
cs_romao,Romão PSA,Kamavota
hcm_saaj,HCM Pediatrico,Kampfumu
hpi,HPI,Kamubukwana
hulene,Hulene PSA,Kamavota
incassane,Incassane,Katembe
inhaca,Inhaca PS,Kanyaka
inhagoia,Inhagoia PS,Kamubukwana
josemacamo_cs,Jose Macamo CS,Nlhamankulu
josemacamo_hg,José Macamo HG,Nlhamankulu
magoanine_a,Magoanine PS,Kamubukwana
magoanine_tenda,Magoanine Tenda PSA,Kamubukwana
malhangalene,Malhangalene CS,Kampfumu
mavalane_cs,Mavalane CS,Kamavota
mavalane_h_p,Mavalane HG,Kamavota
mavalane_hg_a,Mavalane HG,Kamavota
mavalane_hg_p,Mavalane HG,Kamavota
maxaquene,Maxaquene CSURB,Kampfumu
pescadores,Pescadores PS,Kamavota
polana_canico,Polana Caniço CS II,Kamaxakeni
porto,Porto CSURB,Kampfumu
xipamanine,Xipamanine CSURB,Nlhamankulu
zimpeto,Zimpeto PS,Kamubukwana
